"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2021","1,901.60","1,901.60","1,901.60","1,901.60","-","0.34%"
"Dec 31, 2020","1,895.10","1,899.00","1,904.90","1,889.10","130.63K","0.09%"
"Dec 30, 2020","1,893.40","1,881.80","1,899.00","1,879.50","133.66K","0.69%"
"Dec 29, 2020","1,880.50","1,880.00","1,886.30","1,874.40","0.34K","0.14%"
"Dec 28, 2020","1,877.90","1,884.40","1,900.80","1,874.10","1.31K","-0.15%"
"Dec 24, 2020","1,880.70","1,874.10","1,882.10","1,871.10","0.20K","0.27%"
"Dec 23, 2020","1,875.60","1,862.20","1,880.10","1,859.80","0.50K","0.42%"
"Dec 22, 2020","1,867.70","1,883.70","1,885.40","1,861.60","0.56K","-0.67%"
"Dec 21, 2020","1,880.30","1,890.30","1,908.50","1,857.20","1.06K","-0.33%"
"Dec 18, 2020","1,886.50","1,887.10","1,892.70","1,879.90","0.59K","-0.07%"
"Dec 17, 2020","1,887.90","1,866.70","1,898.30","1,864.10","1.32K","1.66%"
"Dec 16, 2020","1,857.00","1,853.50","1,867.10","1,846.20","0.58K","0.21%"
"Dec 15, 2020","1,853.20","1,827.90","1,856.10","1,827.70","0.74K","1.28%"
"Dec 14, 2020","1,829.80","1,838.70","1,839.80","1,821.10","0.61K","-0.63%"
"Dec 11, 2020","1,841.40","1,838.30","1,849.40","1,827.70","0.53K","0.34%"
"Dec 10, 2020","1,835.20","1,840.30","1,851.20","1,831.30","0.74K","-0.05%"
"Dec 09, 2020","1,836.10","1,872.00","1,872.00","1,826.80","1.05K","-1.93%"
"Dec 08, 2020","1,872.30","1,864.10","1,877.00","1,861.70","0.89K","0.48%"
"Dec 07, 2020","1,863.30","1,838.40","1,870.20","1,823.00","1.17K","1.40%"
"Dec 04, 2020","1,837.50","1,842.30","1,850.10","1,830.20","1.25K","-0.05%"
"Dec 03, 2020","1,838.40","1,830.50","1,844.00","1,824.00","1.37K","0.59%"
"Dec 02, 2020","1,827.60","1,814.60","1,833.00","1,808.10","1.75K","0.61%"
"Dec 01, 2020","1,816.60","1,777.50","1,818.30","1,776.40","1.66K","2.17%"
"Nov 30, 2020","1,778.00","1,787.40","1,789.90","1,764.90","1.61K","-0.38%"
"Nov 27, 2020","1,784.80","1,809.90","1,820.00","1,772.90","6.58K","-1.23%"
"Nov 26, 2020","1,807.00","1,806.25","1,816.80","1,804.20","-","0.08%"
"Nov 25, 2020","1,805.50","1,805.20","1,816.30","1,798.60","205.75K","0.05%"
"Nov 24, 2020","1,804.60","1,835.70","1,836.90","1,797.10","367.88K","-1.81%"
"Nov 23, 2020","1,837.80","1,869.80","1,875.00","1,828.00","319.66K","-1.85%"
"Nov 20, 2020","1,872.40","1,864.80","1,879.20","1,859.10","186.17K","0.59%"
"Nov 19, 2020","1,861.50","1,872.00","1,872.60","1,850.00","222.35K","-0.66%"
"Nov 18, 2020","1,873.90","1,879.50","1,884.20","1,860.30","209.00K","-0.59%"
"Nov 17, 2020","1,885.10","1,888.20","1,892.70","1,876.30","160.88K","-0.14%"
"Nov 16, 2020","1,887.80","1,886.60","1,898.00","1,861.50","222.94K","0.08%"
"Nov 13, 2020","1,886.20","1,875.60","1,895.80","1,872.10","162.54K","0.69%"
"Nov 12, 2020","1,873.30","1,863.90","1,883.00","1,860.70","209.93K","0.63%"
"Nov 11, 2020","1,861.60","1,876.10","1,882.50","1,853.90","215.17K","-0.79%"
"Nov 10, 2020","1,876.40","1,864.10","1,888.90","1,858.90","264.87K","1.19%"
"Nov 09, 2020","1,854.40","1,956.00","1,966.10","1,848.00","496.09K","-4.99%"
"Nov 06, 2020","1,951.70","1,950.00","1,961.80","1,937.20","246.78K","0.25%"
"Nov 05, 2020","1,946.80","1,903.40","1,954.30","1,902.20","297.51K","2.67%"
"Nov 04, 2020","1,896.20","1,910.30","1,917.90","1,881.80","293.95K","-0.74%"
"Nov 03, 2020","1,910.40","1,896.40","1,912.20","1,887.60","171.37K","0.95%"
"Nov 02, 2020","1,892.50","1,877.00","1,897.10","1,873.30","164.94K","0.67%"
"Oct 30, 2020","1,879.90","1,867.90","1,890.90","1,863.30","213.17K","0.64%"
"Oct 29, 2020","1,868.00","1,877.50","1,885.10","1,859.20","225.16K","-0.45%"
"Oct 28, 2020","1,876.50","1,908.00","1,909.80","1,867.90","0.28K","-1.71%"
"Oct 27, 2020","1,909.20","1,901.30","1,910.80","1,898.40","0.33K","0.32%"
"Oct 26, 2020","1,903.10","1,902.10","1,908.00","1,890.80","0.28K","0.04%"
"Oct 23, 2020","1,902.30","1,904.30","1,913.70","1,893.00","0.39K","0.04%"
"Oct 22, 2020","1,901.60","1,924.00","1,925.40","1,891.90","1.13K","-1.25%"
"Oct 21, 2020","1,925.70","1,909.00","1,932.00","1,908.50","0.89K","0.74%"
"Oct 20, 2020","1,911.60","1,902.20","1,913.60","1,893.60","0.37K","0.20%"
"Oct 19, 2020","1,907.70","1,899.60","1,919.00","1,896.90","0.51K","0.28%"
"Oct 16, 2020","1,902.40","1,908.40","1,913.40","1,897.80","0.27K","-0.13%"
"Oct 15, 2020","1,904.90","1,902.00","1,909.20","1,889.00","0.49K","0.09%"
"Oct 14, 2020","1,903.10","1,891.30","1,912.80","1,880.90","0.41K","0.68%"
"Oct 13, 2020","1,890.20","1,923.70","1,925.10","1,885.90","0.80K","-1.77%"
"Oct 12, 2020","1,924.30","1,930.90","1,933.30","1,920.00","0.44K","0.12%"
"Oct 09, 2020","1,921.90","1,894.80","1,932.00","1,894.80","0.97K","1.63%"
"Oct 08, 2020","1,891.00","1,886.80","1,900.40","1,881.70","0.70K","0.22%"
"Oct 07, 2020","1,886.80","1,879.90","1,897.40","1,873.20","0.44K","-0.94%"
"Oct 06, 2020","1,904.80","1,913.70","1,922.00","1,875.10","1.05K","-0.59%"
"Oct 05, 2020","1,916.10","1,906.70","1,920.00","1,887.70","0.66K","0.65%"
"Oct 02, 2020","1,903.80","1,907.00","1,919.00","1,893.00","0.81K","-0.44%"
"Oct 01, 2020","1,912.30","1,888.00","1,913.90","1,886.00","0.75K","1.11%"
"Sep 30, 2020","1,891.30","1,898.90","1,903.60","1,882.10","0.55K","-0.39%"
"Sep 29, 2020","1,898.70","1,881.20","1,899.90","1,877.60","0.53K","1.38%"
"Sep 28, 2020","1,872.80","1,855.60","1,878.40","1,843.20","10.46K","0.81%"
"Sep 25, 2020","1,857.80","1,866.20","1,870.60","1,846.00","10.59K","-0.59%"
"Sep 24, 2020","1,868.90","1,859.40","1,872.80","1,843.00","19.91K","0.45%"
"Sep 23, 2020","1,860.50","1,895.00","1,901.60","1,848.00","18.93K","-2.04%"
"Sep 22, 2020","1,899.30","1,909.10","1,916.80","1,890.70","11.15K","-0.15%"
"Sep 21, 2020","1,902.10","1,948.30","1,954.10","1,878.50","18.21K","-2.62%"
"Sep 18, 2020","1,953.20","1,944.00","1,959.10","1,942.90","6.45K","0.61%"
"Sep 17, 2020","1,941.30","1,959.60","1,960.50","1,930.20","12.10K","-1.06%"
"Sep 16, 2020","1,962.00","1,954.30","1,975.40","1,949.10","11.67K","0.20%"
"Sep 15, 2020","1,958.00","1,957.60","1,973.80","1,947.70","18.10K","0.17%"
"Sep 14, 2020","1,954.70","1,940.30","1,963.60","1,937.00","6.70K","0.78%"
"Sep 11, 2020","1,939.50","1,945.00","1,954.60","1,936.20","8.09K","-0.84%"
"Sep 10, 2020","1,956.00","1,947.50","1,966.60","1,940.40","11.35K","0.47%"
"Sep 09, 2020","1,946.80","1,932.00","1,951.40","1,918.80","8.35K","0.60%"
"Sep 08, 2020","1,935.10","1,930.00","1,940.20","1,904.60","15.62K","-0.10%"
"Sep 07, 2020","1,937.10","1,940.70","1,947.40","1,930.45","-","-0.18%"
"Sep 06, 2020","1,940.65","1,941.90","1,944.30","1,937.65","-","0.75%"
"Sep 04, 2020","1,926.20","1,931.90","1,948.80","1,914.60","10.62K","-0.21%"
"Sep 03, 2020","1,930.20","1,941.80","1,948.40","1,919.70","8.94K","-0.35%"
"Sep 02, 2020","1,936.90","1,967.90","1,972.40","1,931.50","10.84K","-1.72%"
"Sep 01, 2020","1,970.80","1,965.90","1,992.50","1,961.20","10.95K","0.02%"
"Aug 31, 2020","1,970.50","1,966.70","1,977.70","1,955.00","7.16K","0.19%"
"Aug 28, 2020","1,966.80","1,930.10","1,974.90","1,921.20","11.76K","2.31%"
"Aug 27, 2020","1,922.30","1,950.90","1,973.80","1,907.70","2.30K","-1.00%"
"Aug 26, 2020","1,941.70","1,927.60","1,952.60","1,899.10","3.29K","1.53%"
"Aug 25, 2020","1,912.50","1,925.40","1,932.90","1,909.40","1.66K","-0.83%"
"Aug 24, 2020","1,928.60","1,937.20","1,959.20","1,920.10","1.41K","-0.38%"
"Aug 21, 2020","1,936.00","1,945.80","1,950.40","1,908.20","1.73K","0.03%"
"Aug 20, 2020","1,935.40","1,924.60","1,951.50","1,920.00","2.07K","-1.28%"
"Aug 19, 2020","1,960.50","2,001.50","2,003.00","1,920.80","2.83K","-2.05%"
"Aug 18, 2020","2,001.60","1,981.60","2,013.00","1,973.60","1.70K","0.73%"
"Aug 17, 2020","1,987.10","1,945.20","1,988.60","1,930.80","1.77K","2.49%"
"Aug 14, 2020","1,938.80","1,952.10","1,958.30","1,930.20","1.26K","-1.05%"
"Aug 13, 2020","1,959.30","1,918.60","1,963.50","1,911.70","2.50K","1.13%"
"Aug 12, 2020","1,937.50","1,910.20","1,948.70","1,863.70","4.16K","0.09%"
"Aug 11, 2020","1,935.70","2,024.20","2,027.00","1,900.90","6.16K","-4.52%"
"Aug 10, 2020","2,027.30","2,032.00","2,047.30","2,015.70","2.55K","0.65%"
"Aug 07, 2020","2,014.30","2,062.40","2,074.00","2,011.00","4.37K","-1.96%"
"Aug 06, 2020","2,054.60","2,036.90","2,065.10","2,033.60","2.61K","1.07%"
"Aug 05, 2020","2,032.90","2,020.20","2,053.50","2,011.20","4.75K","1.43%"
"Aug 04, 2020","2,004.20","1,976.60","2,020.50","1,968.10","3.91K","1.76%"
"Aug 03, 2020","1,969.50","1,979.70","1,992.10","1,958.50","2.82K","0.08%"
"Jul 31, 2020","1,968.00","1,957.00","1,985.70","1,954.30","5.17K","0.95%"
"Jul 30, 2020","1,949.50","1,970.80","1,971.10","1,936.40","5.71K","-0.20%"
"Jul 29, 2020","1,953.40","1,950.60","1,974.90","1,935.20","209.84K","0.45%"
"Jul 28, 2020","1,944.60","1,937.10","1,974.70","1,900.20","434.45K","0.70%"
"Jul 27, 2020","1,931.00","1,901.20","1,941.90","1,899.00","428.23K","1.77%"
"Jul 24, 2020","1,897.50","1,884.90","1,904.60","1,880.50","300.17K","0.40%"
"Jul 23, 2020","1,890.00","1,871.60","1,897.70","1,863.10","418.75K","1.34%"
"Jul 22, 2020","1,865.10","1,842.80","1,871.80","1,842.10","382.23K","1.15%"
"Jul 21, 2020","1,843.90","1,819.60","1,844.90","1,817.20","271.09K","1.46%"
"Jul 20, 2020","1,817.40","1,812.30","1,823.40","1,806.60","177.74K","0.41%"
"Jul 17, 2020","1,810.00","1,796.90","1,813.90","1,795.20","167.01K","0.54%"
"Jul 16, 2020","1,800.30","1,813.10","1,816.20","1,794.10","196.57K","-0.74%"
"Jul 15, 2020","1,813.80","1,811.10","1,819.50","1,804.00","183.06K","0.02%"
"Jul 14, 2020","1,813.40","1,805.20","1,815.00","1,791.10","253.21K","-0.04%"
"Jul 13, 2020","1,814.10","1,803.40","1,818.80","1,802.10","230.40K","0.68%"
"Jul 10, 2020","1,801.90","1,808.40","1,817.00","1,796.50","223.83K","-0.11%"
"Jul 09, 2020","1,803.80","1,818.80","1,825.50","1,799.60","283.37K","-0.92%"
"Jul 08, 2020","1,820.60","1,807.90","1,829.80","1,803.80","247.50K","0.59%"
"Jul 07, 2020","1,809.90","1,793.90","1,810.80","1,781.20","221.73K","0.91%"
"Jul 06, 2020","1,793.50","1,787.90","1,799.00","1,779.20","184.65K","0.33%"
"Jul 03, 2020","1,787.60","1,786.90","1,788.70","1,783.65","-","-0.13%"
"Jul 02, 2020","1,790.00","1,779.00","1,791.70","1,766.30","186.31K","0.57%"
"Jul 01, 2020","1,779.90","1,798.90","1,807.70","1,767.90","263.25K","-1.14%"
"Jun 30, 2020","1,800.50","1,784.20","1,804.00","1,774.80","199.42K","1.08%"
"Jun 29, 2020","1,781.20","1,789.20","1,790.40","1,776.50","130.51K","0.45%"
"Jun 26, 2020","1,773.30","1,768.20","1,778.50","1,748.40","0.64K","0.58%"
"Jun 25, 2020","1,763.10","1,760.70","1,771.70","1,760.40","0.48K","-0.28%"
"Jun 24, 2020","1,768.10","1,777.30","1,786.30","1,765.00","1.71K","-0.34%"
"Jun 23, 2020","1,774.10","1,759.30","1,777.60","1,751.70","1.03K","0.89%"
"Jun 22, 2020","1,758.40","1,755.50","1,771.00","1,747.40","1.91K","0.65%"
"Jun 19, 2020","1,747.10","1,726.30","1,753.50","1,726.30","1.87K","1.22%"
"Jun 18, 2020","1,726.00","1,730.70","1,742.10","1,717.60","0.26K","-0.25%"
"Jun 17, 2020","1,730.30","1,730.60","1,733.80","1,714.40","0.36K","-0.07%"
"Jun 16, 2020","1,731.50","1,729.00","1,735.50","1,718.90","0.37K","0.56%"
"Jun 15, 2020","1,721.80","1,733.20","1,736.20","1,701.00","0.65K","-0.59%"
"Jun 12, 2020","1,732.00","1,729.70","1,746.90","1,724.10","0.59K","-0.16%"
"Jun 11, 2020","1,734.70","1,741.20","1,749.40","1,722.60","0.76K","1.12%"
"Jun 10, 2020","1,715.50","1,715.10","1,743.60","1,709.00","1.15K","-0.09%"
"Jun 09, 2020","1,717.00","1,699.20","1,724.10","1,694.40","0.62K","1.01%"
"Jun 08, 2020","1,699.90","1,682.00","1,702.60","1,675.80","0.75K","1.27%"
"Jun 05, 2020","1,678.50","1,715.00","1,717.20","1,669.10","1.10K","-2.51%"
"Jun 04, 2020","1,721.80","1,699.60","1,722.60","1,695.50","1.10K","1.22%"
"Jun 03, 2020","1,701.00","1,729.70","1,729.80","1,686.90","1.72K","-1.61%"
"Jun 02, 2020","1,728.90","1,743.50","1,750.00","1,724.10","0.69K","-0.83%"
"Jun 01, 2020","1,743.30","1,743.00","1,752.70","1,730.50","0.71K","0.02%"
"May 29, 2020","1,742.90","1,724.90","1,745.00","1,718.60","1.19K","1.34%"
"May 28, 2020","1,719.80","1,718.70","1,734.50","1,714.00","1.56K","0.53%"
"May 27, 2020","1,710.70","1,703.10","1,713.20","1,684.20","137.42K","0.30%"
"May 26, 2020","1,705.60","1,730.20","1,737.20","1,700.00","313.17K","-1.24%"
"May 25, 2020","1,727.00","1,730.55","1,731.35","1,719.25","-","-0.21%"
"May 24, 2020","1,730.65","1,735.45","1,735.90","1,729.80","-","-0.28%"
